account_name,category,search_keyword,seed_url,enabled,notes
CapitalWatch,macro-finance,capitalwatch,,true,Search this account on Newrank and click through to the original article
猫笔刀,finance,猫笔刀,,true,Macro and trading commentary
新智元,ai-tech,新智元,,true,AI industry and model updates
芯极速,semiconductor,芯极速,,true,Semiconductor pricing and supply-chain commentary
